>>L<<English	,>>L<<Chinese
blocking of attention	,注意中断
blocking of thought	,思想阻滞
BlockDesign Test	,积木造形测验
blocksorting	,分组分类法
blockuniverse	,整块的宇宙
Blocqs disease	,立行不能
bloke	,醉鬼
BlondelRey law	,布洛德瑞法则
blood	,血液
blood bond	,血统联系
blood brother	,亲兄弟
blood circulation	,血液循环
blood feud	,氏族间的仇杀
blood flow	,血流
blood flow meter	,血流计
blood flow volume	,血流量
blood glucose	,血糖
blood group	,血型
blood group theory of temperament	,气质血型说
blood heat	,血液温度
blood line	,血统
blood plasma	,血清
blood platelet	,血小板
blood pressure	,血压
blood relation	,血亲
blood relation	,血统关系
blood relationship	,血缘关系
blood serum	,血清
blood supply	,血液供给
blood test	,验血
blood type	,血型
blood type theory	,血型说
blood typing	,血型检定
blood volume	,血量
bloodiness	,残忍
bloodless	,无生气的
bloodline	,血统
bloodbrain barrier	,血脑屏障
bloodsugar content	,血糖含量
bloodtaboo	,流血禁忌
bloom	,闪耀
bloomer	,完全成熟的人
blotto	,大醉的
blow	,呼吸急促
blowzy	,相貌粗气的
blubber	,哭诉
blue	,蓝色
blue blindness	,蓝色盲
blue collar worker	,蓝领工人
blue devils	,震颤性谵狂
blue Monday	,疲惫的星期一
blue murder	,恐怖的喊声
blueyellow blindness	,蓝黄色盲
bluff	,欺骗
blunder	,犯错误
blunt	,迟钝的
blurring of vision	,视力模糊
blushing	,羞愧
bluster	,咆哮
Blyth SecondYear Algebra Test	,布莱斯第二年代数测验
BO	,血型
board of directors	,董事会
board representatives	,董事会代表
boarder	,寄宿的学生
boarding parents	,寄养父母
Boas point	,博亚斯点
boast	,自夸
boastful	,好夸口的
bode	,预兆
bode well	,主吉
bodement	,预兆
Bodian method	,波戴安法
bodily attitude	,身体态度
bodily beauty	,人体美
bodily communication	,身体交往
bodily ego feeling	,身体自我感
bodily harmony	,身体和谐
bodily image	,身体意象
body	,身体
body adaptation	,身体适应
body agnosia	,躯体失认症
body axis	,体轴
body build	,体格
body burden	,机体耐受量
body cavity	,体腔
body concept	,身体概念
body density	,体密度
body diathesis	,身体素质
body dimension	,人体尺寸
body ego	,身体自我
body fluid	,体液
body fluid volume	,体液量
body form	,体形
body gesture	,体态
body heat regulation	,体温调节
body identity	,身份
body identity	,身体自认
body image	,身体意象
body language	,身体语言
body language	,体态语言
body link	,人体链节
body maze	,身体迷津
body measurement	,身体测量
body memory	,身体记忆
body movement	,身体活动
body narcissism	,身体自恋
body play	,身体游戏
body position	,体位
body posture	,身体姿式
body pressure	,体压
body pressure distribution	,体压分布
body rigid model	,人体钢性模型
body rocking	,身体摇摆
body schema	,身体图式
body semantics	,手势语义学
body semantics	,体态语义学
body sensation	,体觉
body sensory area	,体觉中枢
body size	,身体大小
body strength	,体力
body sway	,身体摇摆
body sway testing	,身体摇摆试验
body temperature	,体温
body templates	,人体模板
body therapy	,身体治疗法
body type	,体型
body type theory	,体型说
body weight	,体重
body working performance	,人体工作效能
bodyheat exchange	,体温调节
bodyimage agnosia	,体象失认症
bodyimage distortion	,身体意象扭曲 身体意像扭曲
bodyimage hallucination	,体形幻觉
bodymind dualism	,身心二元说
bodymind problem	,身心问题
bodypositionalchange perception	,身体变位知觉
bodysoul relation	,身灵关系
Boehm Test of Basic Concept	,贝姆基本概念测验
Boerhaaves glands	,汗腺
Boettchers cell	,贝特彻氏细胞
Bogardus Social Distance Scale	,波格达社会距离量表
bogus	,伪造的
boil	,激动
boldness and unconstrainedness	,豪放
Bolks retardation theory	,博尔克发育停滞学说
bolograph	,辐射热测试仪
bolometer	,心搏力计
boloney	,废话
bolt	,筛选
bolt from the blue	,意外事件
Boltz Test	,博尔茨试验
bombast	,故意夸大的语言
bona fides	,诚意
bond	,联结
bond psychology	,联结心理学
bondage	,束缚
bonding	,母子结
bone	,骨
bone conduction	,骨传导
bone conduction audiometry	,骨传导听力 骨传导听力
bone labyrinth	,骨性迷路
bone reflex	,骨反射
bone sensibility	,骨感受性
boner	,愚笨的错误
Bonhoeffers symptom	,博恩霍弗尔症状 博恩霍弗尔症状
bonhomie	,温和
Bonniers syndrome	,博尼尔综合症
bonus system	,奖金制度
book knowledge	,书本知识
bookish	,书生气
Booklet Category Test	,手册式范畴测验
Boolean algebra	,布尔代数
boomerang effect	,反向效应
boomerang effect	,飞去来器效应
boon	,福利
boost	,促进
booster	,促进者
border	,临界
border contrast	,临界对比
border effect	,边际效应
borderline	,临界
borderline case	,临界个案
borderline condition	,临界状况
borderline intelligence	,临界智力
borderline mental retardation	,临界弱智 临界智能不足
borderline patient	,临界患者
borderline personality	,边缘型人格
borderline personality disorder	,边缘型人格异常
borderline personality organization	,边缘人格结构
borderline psychosis	,边缘性精神病
borderline state	,临界状态
borderline syndrome	,边缘综合症
boredom	,枯燥
boredom	,厌烦
boredom in sports	,运动厌烦
born criminals	,生来的罪犯
borne	,心胸狭窄的
Borstal Institution	,英国青少年犯教养院
bosom friend	,知心朋友
bossy	,专横的
botany	,植物学
botcher	,笨手笨脚的人
botheration	,麻烦
bothside argument	,双面论证
bottle feeding	,奶瓶喂食
bottom	,基础
bottomup approach	,由下而上取向
bottomup authority	,自下而上的权威 自下而上的权威
bottomup processing	,自下而上加工
boulimia	,贪食症
Bouma shape	,伯马形
bounce back	,迅速恢复活力
bouncer	,谎言
bound	,边界
bound anxiety	,固定性焦虑
bound anxiety	,局限性焦虑
bound energy	,约束能量
bound variable	,约束变量
boundary	,边缘
boundary	,界限
boundary condition	,边缘条件
boundary control	,边界控制
boundary maintenance	,边界保持
boundary of organization	,组织的界限
boundary region	,边界层
boundary science	,边缘科学
boundary situation	,边缘状态
boundary theory of organization	,组织的界限理论
boundary variable	,边缘变量
boundary zone	,边缘带
boundaryless organization	,无边界组织
bounded rationality	,有限理性
bounty	,慷慨
bounty of nature	,自然惠赐
Bourdons effect	,鲍尔顿效应
bout	,发作
Bouverets syndrome	,阵发性心动过速 阵发性心动过速
Bowditchs law	,鲍迪奇定律
bowel control	,肠控制
bowwow theory	,摹声说
boy	,男孩
boycott	,联合抵制
boyhood	,少年时代
Brace Scale of Motor Ability	,布莱斯动觉能力量表
brachium	,臂
brachium pontis	,脑桥臂
brachybasia	,曳行小步
brachycephalism	,短头畸形
brachymetropia	,近视
bradyacusia	,听力迟钝
bradyarthria	,言语迟缓
bradyauxesis	,部分发育缓慢
bradybasia	,行走徐缓
bradycinesia	,运动过慢
bradyecoia	,部分聋
bradyesthesia	,钝感症
bradyglossia	,言语迟缓
bradykinesia	,运动迟缓
bradykinetic	,运动过慢
bradylalia	,言语迟缓
bradylexia	,慢读症
bradylogia	,精神性言语徐缓
bradylogia	,慢语症
bradyphagia	,慢食癖
bradyphrasia	,言语缓慢
bradyphrenia	,智力迟钝
bradypragia	,动作过慢
bradypsychia	,精神迟钝
bradyrhythmia	,心搏徐缓
bradyscope	,慢示器
bradyteleocinesis	,运动终末过慢
bradyteleokinesis	,运动终末过慢
brag	,自夸
braidism	,催眠术
Braille	,盲字
Braille instruction	,盲人识字教学
Braille print	,布莱叶盲字
Braille reading	,盲文阅读
brain	,脑
Brain & Language	,脑与语言
brain activity	,大脑活动
Brain and Cognition	,脑与认知
brain atlases	,脑图谱
brain brainy	,聪明的
brain cannula	,脑瘘管
brain chemistry	,脑化学
brain concussion	,脑震荡
brain contusion	,脑挫伤
brain cortex	,大脑皮质
brain damage	,脑损伤
brain disorder	,脑失调
brain dominance	,大脑优势
brain electrical acti	,脑电活动
brain equipotentialit	,大脑等功性
brain fag	,脑力过劳
brain fold	,脑褶
brain growth spurt	,脑生长突发
brain hemispheres	,大脑两半球
brain injury	,脑损伤
brain laterality	,脑的单侧性
brain lesion	,脑损伤
brain localization	,大脑功能定位
brain mantle	,大脑皮质
brain map	,脑图谱
brain mechanism	,脑机制
brain modeling	,脑模拟
brain pathology	,脑病理学
brain physiology	,脑生理学
brain potential	,脑电位
brain power	,脑力
brain science	,脑科学
brain stem	,脑干
brain stem reticular activating system	,脑干网状体激活系统
brain stimulation	,脑刺激
brain storming	,集体创思
brain storming	,脑瘁变
brain tissue graft	,脑组织移植
brain trauma	,脑创伤
brain tumor	,脑肿瘤
brain vesicles	,脑泡
brain wave	,脑波
brain waves and sleep	,脑波与睡眠
brain weight	,脑重
Brainard Occupational Preference Inventory	,白氏职业兴趣量表
braincase	,脑壳
brainpan	,脑壳
brainpower	,智力
brainsick	,有精神病的
brainstem	,脑干
brainstorming	,脑力激荡法
brainstorming	,头脑风暴法
brainstorming method	,大脑激荡法
brainstorming procedure	,集思广益程序 集思广益程序
brainwave	,脑波
brainwork	,脑力劳动
brainmind	,大脑意识
brainwave patterns	,脑波模式
braking effect	,制动效应
branch point	,分支点
branches of psychology	,心理学分支
branching	,分支
branching operation	,转移运算
branching process	,分支过程
branching program	,分支式程序教材
branching programming	,分支式程序
branching type	,分支型
brand	,品牌
brand	,商标
brand image	,品牌意象
brand loyalty	,品牌忠实度
brand preference	,品牌爱好
brand royalty	,商标信用
brand share	,品牌占有率
brand share	,商标占有率
brand switching	,品牌变更
brand theory of crime	,犯罪烙印论
brand use survey	,厂牌使用调查
bravery	,勇敢
bravo	,亡命徒
brawl	,吵架
Brazelton Behavioral Assessment Scale for Neonate	,布氏新生儿行为评价量表
breach	,破坏
breadth of accommodations	,调视范围
break	,工间休息
break away	,脱离
break down	,损耗
break phenomenon	,突破现象
break point	,断点
breakage	,破损
breakdown	,崩溃
breakthrough	,突破
breakup	,分裂
breakthrough	,突破
breast feeding	,母乳喂养
breath group	,呼吸群
breath regulating skill	,调息功
breath state	,呼吸状况
breath stream	,呼吸流
breathing capacity	,肺活量
breathing exercise	,气功
breathing rate	,呼吸率
breathtaking performance	,惊险表演
breeding	,养育
breeziness	,活泼
Brenner Test	,布伦纳试验
Brenners formula	,布伦纳公式
Brentanos illusion	,布伦塔诺大小错觉 布伦塔诺大小错觉
Bretons law	,柏里顿心理物理定律
brevity	,短暂
brickbat	,贬责的话
Brickners sign	,布里克纳症
bridewell	,监狱
bridge	,脑桥
bridge	,桥
bridle	,约束物
brief psychotherapy	,简短心理治疗
brief therapy	,简短治疗
brigade laboratory method	,分组实验法
bright adaptation	,光适应
bright zone	,透明区
brightness	,聪明程度
brightness	,明度
brightness adaptation	,亮适应
brightness assimilation	,明度同化
brightness coefficient	,明度系数
brightness constancy	,明度常性
brightness contrast	,明度对比
brightness discrimination	,明度辨别
brightness induction	,明度诱导
brightness induction effect	,明度诱导效应
brightness perception	,明度知觉
brightness ratio	,明度比
brightness threshold	,明度阈限
brightness vision	,明度视觉
brightfield	,明视野
brilliance	,明度
brilliance	,卓著
brilliance contrast	,明度对比
brilliance threshold	,明度阈限
bring back	,回忆起来
bring down	,感到失望的
bring under	,压制
bring up	,抚养
bringingup	,抚养
brink	,边缘
Briquets ataxia	,布里凯运动失调
Briquets syndrome	,布里凯综合症
Brissauds reflex	,布利索反射
BrissaudSicard syndrome	,布利索西卡综合症
British Ability Scale	,英国能力量表
British Pharmacopoeia	,英国药典
British Psychology Society	,英国心理学会
broad	,宽阔的
broad age group	,大龄组
broad band syndromes	,广义综合症
broad categorizing style	,粗略型
broad image	,模糊图像
broadband	,宽频带
broadcast	,广播
broadcaster	,广播员
broadcasting	,广播
broadcasting network	,广播网
broaden	,扩展
broadened survey points	,扩大调查点
broadness	,宽度
broadexternal attention	,广阔外部注意 广阔外部注意
